	benchmark	hardware_vendor	system	cores	chips	cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
213	CINT2006rate	Dell Inc.	Intel Xeon Gold 6152	88	4	22	2100	176	4030	3820	Jul-2017	6391
214	CINT2006rate	Dell Inc.	Intel Xeon Gold 6154	72	4	18	3000	144	4230	4040	Jul-2017	6391
215	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	571	541	Sep-2017	6453
216	CINT2006rate	Fujitsu	Intel Xeon Gold 5115	20	2	10	2400	40	0	980	Sep-2017	6453
217	CINT2006rate	Fujitsu	Intel Xeon Gold 5118	24	2	12	2300	48	0	1160	Sep-2017	6453
218	CINT2006rate	Fujitsu	Intel Xeon Gold 5120	28	2	14	2200	56	0	1310	Sep-2017	6453
219	CINT2006rate	Fujitsu	Intel Xeon Gold 5122	8	2	4	3600	16	0	547	Sep-2017	6453
220	CINT2006rate	Fujitsu	Intel Xeon Gold 6126	24	2	12	2600	48	0	1310	Sep-2017	6453
221	CINT2006rate	Fujitsu	Intel Xeon Gold 6128	12	2	6	3400	24	0	822	Sep-2017	6453
222	CINT2006rate	Fujitsu	Intel Xeon Gold 6130	32	2	16	2100	64	0	1560	Sep-2017	6453
223	CINT2006rate	Fujitsu	Intel Xeon Gold 6132	28	2	14	2600	56	0	1540	Sep-2017	6453
224	CINT2006rate	Fujitsu	Intel Xeon Gold 6134	16	2	8	3200	32	0	1060	Sep-2017	6453
225	CINT2006rate	Fujitsu	Intel Xeon Gold 6136	24	2	12	3000	48	0	1480	Sep-2017	6453
226	CINT2006rate	Fujitsu	Intel Xeon Gold 6138	40	2	20	2000	80	0	1770	Sep-2017	6453
227	CINT2006rate	Fujitsu	Intel Xeon Gold 6140	36	2	18	2300	72	0	1760	Sep-2017	6453
228	CINT2006rate	Fujitsu	Intel Xeon Gold 6142	32	2	16	2600	64	0	1710	Sep-2017	6453
229	CINT2006rate	Fujitsu	Intel Xeon Gold 6144	16	2	8	3500	32	0	1120	Sep-2017	6453
230	CINT2006rate	Fujitsu	Intel Xeon Gold 6146	24	2	12	3200	48	0	1540	Sep-2017	6453
231	CINT2006rate	Fujitsu	Intel Xeon Gold 6148	40	2	20	2400	80	0	1940	Sep-2017	6453
232	CINT2006rate	Fujitsu	Intel Xeon Gold 6150	36	2	18	2700	72	0	1900	Sep-2017	6453
233	CINT2006rate	Fujitsu	Intel Xeon Gold 6152	44	2	22	2100	88	2090	1990	Sep-2017	6453
